Date,Open,High,Low,Close,Adj Close,Volume
1992-09-30,172.490005,183.800003,172.490005,183.679993,183.679993,0
1992-10-31,187.190002,189.300003,171.369995,184.550003,184.550003,0
1992-11-30,184.110001,195.960007,179.210007,195.960007,195.960007,0
1992-12-31,195.960007,215.059998,195.960007,202.559998,202.559998,0
1993-01-31,209.529999,218.160004,184.190002,194.179993,194.179993,0
1993-02-28,191.339996,210,191.339996,206.490005,206.490005,0
1993-03-31,206.610001,216.929993,205.089996,205.809998,205.809998,0
1993-04-30,207.619995,217.190002,198.779999,203.339996,203.339996,0
1993-05-31,203.529999,205.880005,185.75,198.220001,198.220001,0
1993-06-30,197.179993,199.940002,182.330002,186.089996,186.089996,0
1993-07-31,188.960007,208.919998,188.690002,208.759995,208.759995,0
1993-08-31,210.25,232.449997,210.25,229.610001,229.610001,0
1993-09-30,229.610001,240.429993,225.660004,237.25,237.25,0
1993-10-31,240.820007,255.740005,238.809998,240.910004,240.910004,0
1993-11-30,240.699997,252.990005,234.270004,247.669998,247.669998,0
1993-12-31,249.399994,257.51001,242.229996,254.419998,254.419998,0
1994-01-31,254.470001,254.509995,214.809998,222.289993,222.289993,0
1994-02-28,223.160004,228.880005,190.75,208.070007,208.070007,0
1994-03-31,208.070007,223.350006,208.070007,220.529999,220.529999,0
1994-04-30,228.960007,229.009995,186.100006,187.610001,187.610001,0
1994-05-31,187.619995,189.199997,158.110001,159.399994,159.399994,0
1994-06-30,159.399994,181.649994,148.009995,178.839996,178.839996,0
1994-07-31,184.710007,199.889999,165.190002,184.169998,184.169998,0
1994-08-31,184.190002,199.880005,182.759995,187.5,187.5,0
1994-09-30,193.050003,195.300003,178.889999,192.089996,192.089996,0
1994-10-31,192.149994,192.149994,164.949997,171,171,0
1994-11-30,170.600006,177.410004,159.820007,173.570007,173.570007,0
1994-12-31,174.199997,175.800003,153.350006,174.669998,174.669998,0
1995-01-31,174.729996,175.559998,145.029999,145.449997,145.449997,0
1995-02-28,145.589996,171.100006,144.669998,166.100006,166.100006,0
1995-03-31,161.020004,172.919998,158.110001,172.559998,172.559998,0
1995-04-30,174.029999,181.949997,170.259995,180.559998,180.559998,0
1995-05-31,180.789993,193.740005,180.789993,187.330002,187.330002,0
1995-06-30,185.220001,193.050003,185.220001,190.320007,190.320007,0
1995-07-31,190.639999,209.460007,190.639999,203.600006,203.600006,0
1995-08-31,203.600006,210.419998,201.740005,201.880005,201.880005,0
1995-09-30,200.25,201.380005,189.240005,194.039993,194.039993,0
1995-10-31,194.039993,196.559998,182.490005,194.710007,194.710007,0
1995-11-30,194.710007,210.639999,194.350006,208.229996,208.229996,0
1995-12-31,208.600006,215.610001,205.639999,209.880005,209.880005,0
1996-01-31,209.880005,212.149994,200.449997,211.029999,211.029999,0
1996-02-29,211.029999,211.029999,193.910004,195.259995,195.259995,0
1996-03-31,193.919998,204.449997,187.860001,204.020004,204.020004,0
1996-04-30,204.020004,211.820007,198.449997,201.380005,201.380005,0
1996-05-31,205.229996,209.320007,195.429993,195.880005,195.880005,0
1996-06-30,197.880005,199.350006,167.070007,177.259995,177.259995,0
1996-07-31,177.259995,183.970001,171.600006,181.190002,181.190002,0
1996-08-31,182.710007,198.050003,182.429993,186.720001,186.720001,0
1996-09-30,186.720001,192.059998,178.570007,187.029999,187.029999,0
1996-10-31,187.029999,199.240005,187.029999,198.919998,198.919998,0
1996-11-30,199.449997,212.490005,198.759995,211.039993,211.039993,0
1996-12-31,211.039993,243.539993,211.039993,242.339996,242.339996,0
1997-01-31,248.940002,270.869995,248.940002,253.139999,253.139999,0
1997-02-28,245.910004,259.570007,239.990005,245.639999,245.639999,0
1997-03-31,245.639999,258.01001,244.710007,255.110001,255.110001,0
1997-04-30,255.110001,276.109985,255.110001,274.390015,274.390015,0
1997-05-31,278.149994,297.01001,277.829987,284.980011,284.980011,0
1997-06-30,284.980011,306.98999,284.980011,306.140015,306.140015,0
1997-07-31,306.140015,312.01001,280.540009,280.799988,280.799988,0
1997-08-31,280.799988,296.109985,276.570007,295.589996,295.589996,0
1997-09-30,295.589996,310.640015,264.26001,279.019989,279.019989,0
1997-10-31,279.019989,291.549988,267.799988,285.579987,285.579987,0
1997-11-30,286.26001,291.559998,273.359985,290.959991,290.959991,0
1997-12-31,290.959991,294.190002,261.839996,267.059998,267.059998,0
1998-01-31,267.059998,284.929993,259.049988,282.25,282.25,0
1998-02-28,282.25,303.429993,282.25,302.790009,302.790009,0
1998-03-31,302.790009,318.769989,301.690002,307.380005,307.380005,0
1998-04-30,307.380005,336.390015,307.380005,326.820007,326.820007,0
1998-05-31,326.820007,338.350006,311.359985,319.040009,319.040009,0
1998-06-30,319.040009,322.929993,308.130005,318.630005,318.630005,0
1998-07-31,317.029999,330.75,291.690002,293.609985,293.609985,0
1998-08-31,289.519989,297.579987,276.459991,280.769989,280.769989,0
1998-09-30,274.420013,282.519989,247.639999,280.299988,280.299988,0
1998-10-31,281.630005,300.019989,270.140015,296.450012,296.450012,0
1998-11-30,292.269989,305.23999,287.329987,299.890015,299.890015,0
1998-12-31,299.890015,313.209991,291.48999,294.579987,294.579987,0
1999-01-31,295.910004,311.269989,288.839996,310.149994,310.149994,0
1999-02-28,307.390015,355.73999,307.390015,351.940002,351.940002,0
1999-03-31,351.940002,387.019989,350.380005,372.910004,372.910004,0
1999-04-30,387.649994,408.339996,376.549988,390.910004,390.910004,0
1999-05-31,390.910004,427.980011,379.049988,418.51001,418.51001,0
1999-06-30,422.339996,437.619995,409.839996,410.230011,410.230011,0
1999-07-31,398.899994,401,379.399994,385.809998,385.809998,0
1999-08-31,385.910004,410.049988,385.910004,399.640015,399.640015,0
1999-09-30,399.640015,412.320007,384.920013,402.25,402.25,0
1999-10-31,410.829987,445.76001,410.829987,441.119995,441.119995,0
1999-11-30,438.649994,488.459991,435.399994,487.230011,487.230011,0
1999-12-31,497.01001,529.140015,471.589996,490.950012,490.950012,0
2000-01-31,493.899994,568.650024,493.899994,564.809998,564.809998,0
2000-02-29,570.299988,582.5,513.950012,516.549988,516.549988,0
2000-03-31,506.160004,518.330017,455.070007,492.279999,492.279999,0
2000-04-30,493.149994,542.380005,479.429993,533.349976,533.349976,0
2000-05-31,538.929993,553.630005,532.460022,544.190002,544.190002,0
2000-06-30,552.5,564.890015,523.440002,525.450012,525.450012,0
2000-07-31,525.820007,576.309998,518.320007,573.52002,573.52002,0
2000-08-31,573.52002,576.969971,547.789978,559.159973,559.159973,0
2000-09-30,553.809998,556.27002,445.170013,460.519989,460.519989,0
2000-10-31,466.369995,501.880005,456.679993,472.769989,472.769989,0
2000-11-30,472.769989,508.559998,471.5,494.579987,494.579987,0
2000-12-31,488.829987,488.829987,437.73999,445.600006,445.600006,0
2001-01-31,445.600006,468.600006,438.359985,449.359985,449.359985,0
2001-02-28,449.269989,449.269989,380.700012,382.130005,382.130005,0
2001-03-31,384.029999,420.589996,366.929993,418.929993,418.929993,0
2001-04-30,418.929993,429.839996,408.869995,414.209991,414.209991,0
2001-05-31,414.209991,418.200012,396.459991,413.190002,413.190002,0
2001-06-30,421.730011,438.309998,410.299988,433.649994,433.649994,0
2001-07-31,433.649994,441.220001,411.769989,411.899994,411.899994,0
2001-08-31,410.220001,410.920013,352.950012,358.600006,358.600006,0
2001-09-30,358.600006,383.570007,355.399994,368.350006,368.350006,0
2001-10-31,367.320007,399.390015,364.730011,397.51001,397.51001,0
2001-11-30,388.640015,455.359985,384.140015,446.790009,446.790009,0
2001-12-31,446.790009,477.309998,426.619995,436.459991,436.459991,0
2002-01-31,436.459991,446.26001,392.089996,410.019989,410.019989,0
2002-02-28,410.019989,417.290009,395.570007,400.470001,400.470001,0
2002-03-31,379.209991,389.339996,361.160004,362.779999,362.779999,0
2002-04-30,364.48999,384.070007,364.48999,372.859985,372.859985,0
2002-05-31,376.200012,380.029999,338.040009,353.920013,353.920013,0
2002-06-30,357.390015,370.839996,344.649994,362.190002,362.190002,0
2002-07-31,362.190002,370.720001,347.609985,363.820007,363.820007,0
2002-08-31,359.950012,365.839996,334.350006,336.75,336.75,0
2002-09-30,336.75,341.209991,319.950012,322.109985,322.109985,0
2002-10-31,322.109985,362.329987,319.429993,359.049988,359.049988,0
2002-11-30,365,372.820007,330,332.450012,332.450012,0
2002-12-31,332.450012,336.369995,313.51001,318.799988,318.799988,0
2003-01-31,317.619995,324.230011,302.209991,323.630005,323.630005,0
2003-02-28,327.420013,353.980011,322.429993,341.690002,341.690002,0
2003-03-31,342.369995,393.880005,342.369995,392.679993,392.679993,0
2003-04-30,392.679993,443.019989,379.519989,434.880005,434.880005,0
2003-05-31,444.100006,461.670013,410.23999,453.399994,453.399994,0
2003-06-30,453.399994,462.940002,423.190002,424.769989,424.769989,0
2003-07-31,424.769989,424.769989,401.959991,417.619995,417.619995,0
2003-08-31,416.149994,437.059998,410.160004,432.079987,432.079987,0
2003-09-30,432.079987,479.51001,430.48999,473.339996,473.339996,0
2003-10-31,483.809998,516.51001,481.220001,510.559998,510.559998,0
2003-11-30,510.679993,535.440002,484.079987,534.390015,534.390015,0
2003-12-31,534.390015,585.190002,534.390015,554.309998,554.309998,0
2004-01-31,545.380005,579.460022,541.669983,559.359985,559.359985,0
2004-02-29,567.780029,584.659973,554.950012,566.070007,566.070007,0
2004-03-31,566.070007,590.809998,565.409973,571.179993,571.179993,0
2004-04-30,566.26001,579.659973,548.280029,569.869995,569.869995,0
2004-05-31,570.169983,598.960022,570.169983,596.23999,596.23999,0
2004-06-30,597.049988,604.070007,568.859985,570.869995,570.869995,0
2004-07-31,567.090027,567.400024,524.26001,551.090027,551.090027,0
2004-08-31,550.75,569.419983,546.409973,558.969971,558.969971,0
2004-09-30,558.969971,571.549988,540.640015,545.799988,545.799988,0
2004-10-31,552.27002,598.02002,551.159973,589.409973,589.409973,0
2004-11-30,589.409973,636.919983,587.369995,635.950012,635.950012,0
2004-12-31,643.869995,660.48999,628.75,658.390015,658.390015,0
2005-01-31,658.390015,679,650.099976,672.369995,672.369995,0
2005-02-28,672.369995,692.039978,655.72998,664.640015,664.640015,0
2005-03-31,664.640015,685.440002,651.880005,676.700012,676.700012,0
2005-04-30,686.859985,702.02002,679.840027,699.299988,699.299988,0
2005-05-31,699.299988,706.75,645.400024,656.47998,656.47998,0
2005-06-30,656.47998,702.77002,644.210022,696.159973,696.159973,0
2005-07-31,688.390015,729.5,681.349976,715.070007,715.070007,0
2005-08-31,717.799988,760.159973,717.799988,753.590027,753.590027,0
2005-09-30,753.590027,770.97998,735.099976,765.369995,765.369995,0
2005-10-31,765.429993,793.099976,747.950012,790.549988,790.549988,0
2005-11-30,790.549988,836.73999,786.190002,822.98999,822.98999,0
2005-12-31,829.869995,873.26001,802.369995,844.409973,844.409973,0
2006-01-31,844.409973,854.679993,803.26001,823.210022,823.210022,0
2006-02-28,823.210022,868.700012,821.26001,835.780029,835.780029,0
2006-03-31,830.559998,881.890015,830.559998,879.919983,879.919983,0
2006-04-30,886.210022,923.700012,852.669983,868.869995,868.869995,0
2006-05-31,868.869995,871.900024,791.01001,793.570007,793.570007,0
2006-06-30,812.840027,843.400024,756.070007,815.469971,815.469971,0
2006-07-31,814.090027,839.140015,786.5,820,820,0
2006-08-31,820,847.679993,794.419983,846.090027,846.090027,0
2006-09-30,846.090027,919.710022,843.340027,914.130005,914.130005,0
2006-10-31,914.130005,941.97998,901.72998,936.130005,936.130005,0
2006-11-30,936.130005,950.640015,923.419983,925.599976,925.599976,0
2006-12-31,923.099976,963.849976,913.840027,958.26001,958.26001,0
2007-01-31,962.299988,1007.169983,959.289978,970.719971,970.719971,0
2007-02-28,967.460022,995.869995,936.599976,994.5,994.5,0
2007-03-31,994.5,1080.900024,994.5,1066.560059,1066.560059,0
2007-04-30,1060.910034,1123.390015,1057.290039,1117.02002,1117.02002,0
2007-05-31,1117.02002,1137.579956,1071.47998,1102.189941,1102.189941,0
2007-06-30,1106.609985,1153.339966,1065.069946,1103.099976,1103.099976,0
2007-07-31,1078.660034,1083.410034,1006.75,1034.670044,1034.670044,0
2007-08-31,1050.170044,1098.72998,1013.109985,1095.369995,1095.369995,0
2007-09-30,1109.73999,1192.849976,1107.050049,1189.040039,1189.040039,0
2007-10-31,1196.280029,1199.380005,1103.420044,1133.109985,1133.109985,0
2007-11-30,1144.670044,1185.72998,1120.030029,1154.589966,1154.589966,0
2007-12-31,1152.969971,1167.040039,976.630005,1003.469971,1003.469971,0
2008-01-31,1003.469971,1055.140015,980.700012,1034.01001,1034.01001,0
2008-02-29,1000.26001,1014.460022,882.869995,928.059998,928.059998,0
2008-03-31,928.549988,1027.969971,927.409973,996.169983,996.169983,0
2008-04-30,992.01001,1037.869995,989.700012,1035.680054,1035.680054,0
2008-05-31,1038.22998,1045.25,972.400024,987.51001,987.51001,0
2008-06-30,987.51001,987.51001,885.400024,948.059998,948.059998,0
2008-07-31,948.059998,948.059998,916.26001,922.419983,922.419983,0
2008-08-31,916.030029,927.309998,740.76001,812.77002,812.77002,0
2008-09-30,812.77002,812.77002,627.659973,645.690002,645.690002,0
2008-10-31,671.090027,713.059998,518.23999,575.390015,575.390015,0
2008-11-30,589.98999,628.75,542.349976,564.090027,564.090027,0
2008-12-31,567.059998,620.169983,567.059998,599.969971,599.969971,0
2009-01-31,594.890015,644.219971,586.98999,603.690002,603.690002,0
2009-02-28,577.690002,678.820007,569.849976,666.140015,666.140015,0
2009-03-31,664.150024,750.440002,662.280029,745.25,745.25,0
2009-04-30,745.25,798.380005,744.380005,791.030029,791.030029,0
2009-05-31,815.969971,836.690002,765.539978,801.26001,801.26001,0
2009-06-30,801.26001,886.820007,766.169983,884.690002,884.690002,0
2009-07-31,904.309998,934.919983,852.23999,883.76001,883.76001,0
2009-08-31,896.669983,954.51001,868.22998,927.700012,927.700012,0
2009-09-30,943.02002,990.880005,938.590027,957.330017,957.330017,0
2009-10-31,936.960022,1021.159973,919.330017,1003.549988,1003.549988,0
2009-11-30,1007.109985,1069.160034,1006.97998,1064.97998,1064.97998,0
2009-12-31,1064.97998,1111.890015,1059.180054,1073.26001,1073.26001,0
2010-01-31,1059.579956,1111.280029,1050.01001,1092.310059,1092.310059,0
2010-02-28,1104.869995,1163.930054,1104.810059,1155.420044,1155.420044,0
2010-03-31,1159,1166.219971,1093.689941,1097.680054,1097.680054,0
2010-04-30,1099.25,1110.119995,998.080017,1009.400024,1009.400024,0
2010-05-31,1011.650024,1061.859985,988.52002,990.340027,990.340027,0
2010-06-30,979.119995,1045.880005,975.200012,1029.170044,1029.170044,0
2010-07-31,1034.290039,1076.699951,1034.290039,1046.420044,1046.420044,0
2010-08-31,1053.869995,1138.469971,1050.079956,1128.869995,1128.869995,0
2010-09-30,1128.869995,1177.670044,1118.22998,1171.160034,1171.160034,0
2010-10-31,1182.410034,1182.76001,1130.560059,1149.670044,1149.670044,0
2010-11-30,1155.530029,1229.939941,1152.810059,1224,1224,0
2010-12-31,1231.02002,1254.400024,1190.02002,1203.75,1203.75,0
2011-01-31,1204.76001,1241.969971,1171.630005,1189.959961,1189.959961,0
2011-02-28,1192.160034,1212.130005,1118.180054,1207.609985,1207.609985,0
2011-03-31,1207.609985,1223.630005,1195.329956,1195.329956,1195.329956,0
2011-04-30,1185.75,1187.150024,1110.869995,1152.219971,1152.219971,0
2011-05-31,1149.939941,1149.939941,1077.949951,1113.380005,1113.380005,1795289000
2011-06-30,1113.380005,1148.660034,1113.380005,1117.650024,1117.650024,3548975600
2011-07-31,1118.550049,1121.459961,940.77002,1013.469971,1013.469971,3372497300
2011-08-31,1014.909973,1017.51001,886.549988,969.77002,969.77002,4398086600
2011-09-30,944.369995,1063.569946,920.320007,1021.469971,1021.469971,3158502800
2011-10-31,1004.369995,1026.920044,925.72998,984.320007,984.320007,3955770200
2011-11-30,987.349976,1008.820007,963.929993,978.48999,978.48999,3396036400
2011-12-31,990.869995,1037.189941,989.630005,1013.700012,1013.700012,5250028000
2012-01-31,1011.97998,1025.73999,975.619995,990.059998,990.059998,2912905800
2012-02-29,989.690002,1060.22998,982.450012,1032.47998,1032.47998,4106770000
2012-03-31,1043.01001,1070.069946,1025.900024,1066.48999,1066.48999,2477765400
2012-04-30,1065.619995,1074.150024,959.960022,981.280029,981.280029,4248230200
2012-05-31,981.280029,1014.01001,955.559998,969.859985,969.859985,2874854800
2012-06-30,986.669983,1007.179993,957.47998,996.719971,996.719971,3023879000
2012-07-31,995.929993,1002.950012,970.909973,999.590027,999.590027,3531492200
2012-08-31,993.799988,1057.030029,985.880005,1054.579956,1054.579956,2431597400
2012-09-30,1054.579956,1097.189941,1053.660034,1076.410034,1076.410034,2416048500
2012-10-31,1078.939941,1094.400024,1035.089966,1089.609985,1089.609985,3421312200
2012-11-30,1093.069946,1100.780029,1034.630005,1049.060059,1049.060059,3514081200
2012-12-31,1067.550049,1086.410034,1043.859985,1046.719971,1046.719971,2334524700
2013-01-31,1046.719971,1104.530029,1046.719971,1090.670044,1090.670044,2157918100
2013-02-28,1090.670044,1115.98999,1080.48999,1100.040039,1100.040039,1765887100
2013-03-31,1100.040039,1105.439941,1066.719971,1082.949951,1082.949951,1594526700
2013-04-30,1082.780029,1118.599976,1068.800049,1107.900024,1107.900024,2472968000
2013-05-31,1103.079956,1111.890015,1067.77002,1069.560059,1069.560059,2230618300
2013-06-30,1074.890015,1119.22998,1068.130005,1094.060059,1094.060059,2198882200
2013-07-31,1095.310059,1108.030029,1052.900024,1081.680054,1081.680054,2105323000
2013-08-31,1088.699951,1148.660034,1070.709961,1142.51001,1142.51001,1723122900
2013-09-30,1147.170044,1182.459961,1136.910034,1160.439941,1160.439941,3554054200
2013-10-31,1169.959961,1223.959961,1168.910034,1218.430054,1218.430054,2784031000
2013-11-30,1236.680054,1238.689941,1178.589966,1206.800049,1206.800049,3406136000
2013-12-31,1214.329956,1245.25,1189.48999,1200.630005,1200.630005,1798173700
2014-01-31,1202.359985,1259.25,1179.959961,1253.560059,1253.560059,1539673400
2014-02-28,1254.359985,1292.569946,1246.459961,1282.219971,1282.219971,1652610200
2014-03-31,1286.72998,1302.199951,1248.589966,1250.02002,1250.02002,1281517800
2014-04-30,1247.550049,1271.030029,1234.359985,1256.73999,1256.73999,1396037000
2014-05-31,1262.819946,1272.73999,1247.300049,1252.390015,1252.390015,1009507100
2014-06-30,1253.709961,1265.630005,1224.560059,1246.199951,1246.199951,1166140400
2014-07-31,1246.099976,1271.52002,1232.089966,1263.969971,1263.969971,911045700
2014-08-31,1267.400024,1312.439941,1267.150024,1305.439941,1305.439941,1176166400
2014-09-30,1306.670044,1319.290039,1265.300049,1276.800049,1276.800049,939249500
2014-10-31,1291.869995,1311.459961,1280.76001,1310.199951,1310.199951,1103144400
2014-11-30,1304.280029,1329.310059,1274.540039,1288.930054,1288.930054,1702529800
2014-12-31,1284.52002,1297.040039,1269.180054,1269.709961,1269.709961,0
2015-01-31,1271.829956,1346.01001,1269.300049,1341.780029,1341.780029,1551328900
2015-02-28,1362.689941,1425.949951,1353.26001,1416.160034,1416.160034,3078263600
2015-03-31,1415.140015,1486.430054,1413.97998,1430.609985,1430.609985,1319434100
2015-04-30,1427.650024,1487.469971,1406.52002,1454.51001,1454.51001,1349223500
2015-05-31,1464.589966,1480.439941,1406.109985,1420.26001,1420.26001,1430214100
2015-06-30,1422.540039,1491.540039,1412.02002,1476.849976,1476.849976,1476124000
2015-07-31,1480.329956,1503.790039,1343.920044,1382.48999,1382.48999,2015245200
2015-08-31,1373.27002,1419.349976,1286.310059,1294.449951,1294.449951,1859816700
2015-09-30,1301.959961,1369.849976,1299.26001,1366.619995,1366.619995,1585082700
2015-10-31,1360.959961,1376.189941,1324.5,1345.369995,1345.369995,1564492200
2015-11-30,1354.790039,1362.390015,1281.869995,1315.219971,1315.219971,2116237800
2015-12-31,1311.76001,1324.949951,1226.189941,1246.209961,1246.209961,1427271800
2016-01-31,1266.47998,1268.780029,1180.609985,1239.25,1239.25,1114352600
2016-02-29,1240.650024,1285.939941,1239.800049,1251.02002,1251.02002,1883210100
2016-03-31,1250.680054,1297.52002,1240.180054,1245.119995,1245.119995,972348800
2016-04-30,1227.52002,1259.339966,1206.51001,1253.689941,1253.689941,1413545700
2016-05-31,1254.280029,1263.579956,1195.030029,1210.949951,1210.949951,2016608800
2016-06-30,1226.369995,1283.25,1212.079956,1267.26001,1267.26001,899263700
2016-07-31,1277.209961,1300.530029,1261.079956,1271.290039,1271.290039,1354693400
2016-08-31,1273.75,1285.23999,1247.959961,1260.77002,1260.77002,1407170800
2016-09-30,1252.430054,1267.540039,1228.839966,1229.77002,1229.77002,736904100
2016-10-31,1233.150024,1273.329956,1198.319946,1265.310059,1265.310059,1459329700
2016-11-30,1261.47998,1297.180054,1254.910034,1282.410034,1282.410034,2074694000
2016-12-31,1279.140015,1293.02002,1230.51001,1242.959961,1242.959961,1291821200
2017-01-31,1250.5,1297.410034,1243.25,1265.609985,1265.609985,793598500
2017-02-28,1268.51001,1288.660034,1243.359985,1251.280029,1251.280029,801331000
2017-03-31,1254.97998,1274.810059,1240.51001,1271.98999,1271.98999,1129709200
2017-04-30,1267.349976,1308.300049,1266.719971,1297.439941,1297.439941,1100670900
2017-05-31,1296.130005,1301.839966,1279.180054,1292.410034,1292.410034,1383200300
